blk_no,Unnamed: 0,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,address,latitude,longitude
469,7353,ANG MO KIO AVE 10,12,1979,Y,N,N,Y,N,N,220,469 ANG MO KIO AVE 10,1.364520294,103.8566319
469,7358,SENGKANG WEST WAY,1,2016,N,N,N,N,N,Y,0,469 SENGKANG WEST WAY,1.396073318,103.8782656
469,7360,YISHUN ST 43,1,2019,N,N,N,N,N,Y,0,469 YISHUN ST 43,1.424454433,103.852293
469A,7363,YISHUN ST 43,14,2018,Y,N,N,N,N,N,141,469A YISHUN ST 43,1.424694074,103.8523857
469B,7366,YISHUN ST 43,14,2018,Y,N,N,N,N,N,141,469B YISHUN ST 43,1.424388797,103.8520831
47,7377,OWEN RD,8,1978,Y,N,N,Y,N,N,194,47 OWEN RD,1.314845055,103.8501181
47,7378,SIMS PL,2,1976,N,Y,N,N,N,N,0,47 SIMS PL,1.317941213,103.8790254
47,7380,TANGLIN HALT RD,2,1964,N,Y,N,Y,N,N,0,47 TANGLIN HALT RD,1.300792761,103.7980771
47A,7383,MARINE CRES,2,2005,N,N,N,N,Y,N,0,47A MARINE CRES,1.305532132,103.9125821
47A,7384,WHAMPOA STH,1,2001,N,N,N,N,N,Y,0,47A WHAMPOA STH,1.323804425,103.8668399
470,7387,FERNVALE LINK,6,2015,N,N,N,N,Y,N,0,470 FERNVALE LINK,1.396966921,103.8794388
470,7389,LOR 6 TOA PAYOH,3,2002,N,Y,N,N,N,N,0,470 LOR 6 TOA PAYOH,1.332034739,103.8493387
470,7394,UPP SERANGOON CRES,7,2013,N,N,N,N,Y,N,0,470 UPP SERANGOON CRES,1.37869292,103.9017789
470D,7401,FERNVALE LINK,1,2016,N,N,N,N,N,Y,0,470D FERNVALE LINK,1.396539118,103.8798521
471,7408,TAMPINES ST 44,4,1985,Y,N,N,N,N,N,40,471 TAMPINES ST 44,1.360305926,103.954069
471,7409,UPP SERANGOON CRES,1,2014,N,N,N,N,N,Y,0,471 UPP SERANGOON CRES,1.378480675,103.9020907
471A,7411,SEGAR RD,1,2000,N,N,N,N,N,Y,0,471A SEGAR RD,1.388159756,103.7731543
472,7418,FERNVALE ST,5,2015,N,N,N,N,Y,N,0,472 FERNVALE ST,1.396902419,103.8817086
472D,7427,FERNVALE ST,1,2016,N,N,N,N,N,Y,0,472D FERNVALE ST,1.397111214,103.8813452
473,7430,FERNVALE ST,1,2015,N,Y,N,N,N,N,0,473 FERNVALE ST,1.397798747,103.8816988
473,7435,TAMPINES ST 43,2,1989,N,Y,N,Y,N,N,0,473 TAMPINES ST 43,1.359349632,103.9532694
473,7436,UPP SERANGOON CRES,7,2015,N,N,N,N,Y,N,0,473 UPP SERANGOON CRES,1.376412337,103.9006967
473A,7438,PASIR RIS DR 6,6,2016,N,N,N,N,Y,N,0,473A PASIR RIS DR 6,1.374265726,103.9565955
473D,7442,UPP SERANGOON CRES,18,2016,Y,Y,N,N,N,N,136,473D UPP SERANGOON CRES,1.376673718,103.9019541
474,7450,UPP SERANGOON CRES,1,2016,N,N,N,N,N,Y,0,474 UPP SERANGOON CRES,1.376653693,103.9008603
474A,7451,CHOA CHU KANG AVE 3,5,1997,N,N,N,N,Y,N,0,474A CHOA CHU KANG AVE 3,1.378638884,103.7379059
475,7453,CHOA CHU KANG AVE 3,5,1999,N,Y,N,Y,N,N,0,475 CHOA CHU KANG AVE 3,1.377974793,103.7389413
475,7458,TAMPINES ST 44,4,1989,N,Y,N,N,Y,N,0,475 TAMPINES ST 44,1.360323324,103.953126
475,7459,UPP SERANGOON CRES,7,2014,N,Y,N,N,Y,Y,0,475 UPP SERANGOON CRES,1.37571548,103.9006753
475A,7460,SEMBAWANG DR,2,1999,N,N,N,N,N,Y,0,475A SEMBAWANG DR,1.451195606,103.816927
476,7466,CHOA CHU KANG AVE 5,5,2011,N,N,N,N,Y,N,0,476 CHOA CHU KANG AVE 5,1.376934079,103.7381302
476,7472,UPP SERANGOON VIEW,6,2014,N,Y,N,N,Y,N,0,476 UPP SERANGOON VIEW,1.377430067,103.9037129
476A,7474,PASIR RIS DR 6,12,2011,Y,Y,N,Y,N,N,220,476A PASIR RIS DR 6,1.374876492,103.9577919
476A,7475,SEGAR RD,6,2000,N,N,N,N,Y,N,0,476A SEGAR RD,1.389052017,103.7734939
476A,7476,SEMBAWANG DR,5,1998,N,N,N,N,Y,N,0,476A SEMBAWANG DR,1.4518034,103.8167014
476D,7483,UPP SERANGOON VIEW,2,2015,N,Y,N,N,N,N,0,476D UPP SERANGOON VIEW,1.377915061,103.9036238
476E,7484,CHOA CHU KANG AVE 5,1,2011,N,N,N,N,N,Y,0,476E CHOA CHU KANG AVE 5,1.377099573,103.7382957
477,7490,UPP SERANGOON VIEW,1,2015,N,N,N,N,N,Y,0,477 UPP SERANGOON VIEW,1.379439294,103.9038699
478,7498,TAMPINES ST 44,1,1988,N,Y,N,N,N,N,0,478 TAMPINES ST 44,1.361318946,103.9531259
478,7499,YISHUN ST 42,6,2019,N,N,N,Y,Y,N,0,478 YISHUN ST 42,1.429390252,103.8507098
478A,7500,SEGAR RD,1,2001,N,N,N,N,N,Y,0,478A SEGAR RD,1.389896094,103.7729816
478A,7501,YISHUN ST 44,14,2019,Y,N,N,N,N,N,167,478A YISHUN ST 44,1.429102178,103.8511387
478B,7502,YISHUN ST 44,14,2019,Y,N,N,N,N,N,167,478B YISHUN ST 44,1.42934496,103.8516523
478C,7503,YISHUN ST 44,14,2019,Y,N,N,Y,N,N,167,478C YISHUN ST 44,1.429783899,103.8511904
479,7509,YISHUN ST 44,1,2021,N,N,N,N,N,Y,0,479 YISHUN ST 44,1.430093836,103.8510652
479A,7510,YISHUN ST 42,14,2019,Y,N,N,N,N,N,167,479A YISHUN ST 42,1.42980948,103.8505435
479B,7511,YISHUN ST 42,14,2020,Y,N,N,N,N,N,78,479B YISHUN ST 42,1.429778816,103.8500956
479C,7512,YISHUN ST 42,14,2020,Y,N,N,N,N,N,78,479C YISHUN ST 42,1.429429611,103.8500967
48,7521,SIMS PL,2,1979,N,Y,N,N,N,N,0,48 SIMS PL,1.317755598,103.8794395
48,7522,STIRLING RD,7,1961,Y,N,N,N,N,N,112,48 STIRLING RD,1.297962977,103.8017053
48,7524,TANGLIN HALT RD,2,1964,N,Y,N,N,N,N,0,48 TANGLIN HALT RD,1.300789009,103.7976262
48A,7528,HAVELOCK RD,1,2001,N,N,N,N,N,Y,0,48A HAVELOCK RD,1.289867067,103.8263239
48A,7529,STRATHMORE AVE,1,2005,N,N,N,N,N,Y,0,48A STRATHMORE AVE,1.293605657,103.8084478
48A,7530,TELOK BLANGAH DR,6,1994,N,N,N,N,Y,N,0,48A TELOK BLANGAH DR,1.271782149,103.8106058
480,7532,LOR 6 TOA PAYOH,33,2002,N,Y,N,N,N,N,0,480 LOR 6 TOA PAYOH,1.332236224,103.8485739
480A,7537,SEGAR RD,4,2000,N,N,N,N,Y,N,0,480A SEGAR RD,1.38979777,103.7719211
480A,7538,SEMBAWANG DR,1,1999,N,N,N,N,N,Y,0,480A SEMBAWANG DR,1.451948661,103.8148215
481A,7544,SEMBAWANG DR,5,1998,N,N,N,N,Y,N,0,481A SEMBAWANG DR,1.452484045,103.8154104
482A,7550,ADMIRALTY LINK,5,2002,N,N,N,N,Y,N,0,482A ADMIRALTY LINK,1.454881851,103.8156775
482A,7551,SEGAR RD,1,2001,N,N,N,N,N,Y,0,482A SEGAR RD,1.388928507,103.7723877
482B,7552,ADMIRALTY LINK,1,2002,N,N,N,N,N,Y,0,482B ADMIRALTY LINK,1.455288544,103.8157967
483A,7559,CHOA CHU KANG AVE 5,5,1997,N,N,N,N,Y,N,0,483A CHOA CHU KANG AVE 5,1.375991749,103.7370829
484A,7566,ADMIRALTY LINK,5,2001,N,N,N,N,Y,N,0,484A ADMIRALTY LINK,1.456481732,103.8152345
484B,7568,ADMIRALTY LINK,1,2002,N,N,N,N,N,Y,0,484B ADMIRALTY LINK,1.45673238,103.8152091
486A,7588,CHOA CHU KANG AVE 5,5,1997,N,N,N,N,Y,N,0,486A CHOA CHU KANG AVE 5,1.375060591,103.7384223
486B,7590,CHOA CHU KANG AVE 5,1,2001,N,N,N,N,N,Y,0,486B CHOA CHU KANG AVE 5,1.375252428,103.7380285
487,7594,CHOA CHU KANG AVE 5,1,2015,N,N,N,N,N,Y,0,487 CHOA CHU KANG AVE 5,1.376287056,103.7388157
487A,7599,SEGAR RD,1,2014,N,N,N,N,N,Y,0,487A SEGAR RD,1.389367215,103.771091
488,7606,CHOA CHU KANG AVE 5,7,2014,N,N,N,N,Y,N,0,488 CHOA CHU KANG AVE 5,1.376723796,103.7386961
488A,7610,SEGAR RD,5,2013,N,N,N,N,Y,N,0,488A SEGAR RD,1.389860271,103.7712628
489,7617,CHOA CHU KANG AVE 5,8,2014,N,N,N,N,Y,N,0,489 CHOA CHU KANG AVE 5,1.375595813,103.7409322
49,7633,SIMS PL,1,2006,N,N,Y,N,N,N,0,49 SIMS PL,1.317035024,103.8793099
49,7634,STIRLING RD,7,1961,Y,Y,N,N,N,N,96,49 STIRLING RD,1.297506445,103.8022572
49,7636,TANGLIN HALT RD,2,1964,N,Y,N,N,N,N,0,49 TANGLIN HALT RD,1.300426931,103.7973598
49A,7640,JLN TIGA,6,2003,N,N,N,N,Y,N,0,49A JLN TIGA,1.308509326,103.8853462
49A,7641,WHAMPOA STH,5,2000,N,N,N,N,Y,N,0,49A WHAMPOA STH,1.323781803,103.8663962
490,7643,CHOA CHU KANG AVE 5,1,2015,N,N,N,N,N,Y,0,490 CHOA CHU KANG AVE 5,1.375215182,103.7411932
490,7645,LOR 6 TOA PAYOH,9,2002,N,Y,N,N,N,N,0,490 LOR 6 TOA PAYOH,1.332567793,103.8484187
492,7664,TAMPINES ST 45,8,2017,N,N,N,Y,Y,N,0,492 TAMPINES ST 45,1.363922664,103.9557223
492A,7665,ADMIRALTY LINK,5,2002,N,N,N,N,Y,N,0,492A ADMIRALTY LINK,1.456657638,103.8173944
492A,7666,TAMPINES ST 45,5,1992,N,N,N,N,Y,N,0,492A TAMPINES ST 45,1.363116885,103.9540757
492E,7670,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,253,492E TAMPINES ST 45,1.363429656,103.9558766
492F,7671,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,198,492F TAMPINES ST 45,1.363711243,103.9561476
492G,7672,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,121,492G TAMPINES ST 45,1.364241688,103.9550856
492H,7673,TAMPINES ST 45,1,2018,N,N,N,N,N,Y,0,492H TAMPINES ST 45,1.363708733,103.9566629
492J,7674,TAMPINES ST 45,1,2018,N,N,N,N,N,Y,0,492J TAMPINES ST 45,1.364571566,103.9549326
493,7676,JURONG WEST ST 41,2,2018,N,Y,Y,Y,N,N,0,493 JURONG WEST ST 41,1.34896996,103.7249384
493A,7677,JURONG WEST ST 41,1,2017,N,N,N,N,N,Y,0,493A JURONG WEST ST 41,1.349363388,103.7246591
494,7684,TAMPINES ST 45,1,2018,N,Y,N,N,N,N,0,494 TAMPINES ST 45,1.363059854,103.9558279
494A,7685,JURONG WEST ST 41,1,2017,N,Y,N,N,N,N,0,494A JURONG WEST ST 41,1.349557514,103.7243291
494A,7686,TAMPINES ST 43,5,1992,N,N,N,N,Y,N,0,494A TAMPINES ST 43,1.363104083,103.9521768
494F,7691,TAMPINES ST 43,6,2014,N,N,N,N,Y,Y,0,494F TAMPINES ST 43,1.364009451,103.9530706
494G,7692,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,110,494G TAMPINES ST 45,1.36313399,103.9554499
494H,7693,TAMPINES ST 45,12,2017,Y,N,N,Y,N,N,110,494H TAMPINES ST 45,1.363678277,103.9549803
494J,7694,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,110,494J TAMPINES ST 45,1.364112311,103.954329
496,7702,JURONG WEST ST 41,1,1985,N,Y,N,N,N,N,0,496 JURONG WEST ST 41,1.349989607,103.7238365
496A,7703,TAMPINES ST 43,5,1992,N,N,N,N,Y,N,0,496A TAMPINES ST 43,1.361280849,103.9505631
497,7710,JURONG WEST ST 41,1,1985,N,Y,N,N,N,N,0,497 JURONG WEST ST 41,1.34942303,103.724281
497E,7715,TAMPINES ST 45,3,1994,N,N,N,N,Y,N,0,497E TAMPINES ST 45,1.358739402,103.9584838
497K,7720,TAMPINES ST 45,3,1994,N,N,N,N,Y,N,0,497K TAMPINES ST 45,1.359859112,103.9596001
497L,7721,TAMPINES ST 45,4,1994,N,N,N,N,Y,N,0,497L TAMPINES ST 45,1.360676411,103.9598788
498C,7725,TAMPINES ST 45,3,1995,N,N,N,N,Y,N,0,498C TAMPINES ST 45,1.360780462,103.9590134
498K,7732,TAMPINES ST 45,3,1995,N,N,N,N,Y,N,0,498K TAMPINES ST 45,1.362856161,103.956863
498N,7735,TAMPINES ST 45,1,1995,N,N,N,N,N,Y,0,498N TAMPINES ST 45,1.36269973,103.9578067
499,7736,JURONG WEST ST 41,17,2014,Y,N,N,Y,N,Y,232,499 JURONG WEST ST 41,1.348638568,103.7250867
499,7737,TAMPINES AVE 9,4,2012,N,N,N,N,Y,N,0,499 TAMPINES AVE 9,1.359222957,103.9563188
499C,7740,TAMPINES AVE 9,12,2012,Y,N,N,Y,N,N,228,499C TAMPINES AVE 9,1.359540276,103.9561088
499D,7741,TAMPINES AVE 9,1,2013,N,N,N,N,N,Y,0,499D TAMPINES AVE 9,1.359289059,103.955841
5,7742,BANDA ST,21,1973,Y,Y,N,Y,N,N,430,5 BANDA ST,1.281147584,103.8433125
5,7743,BEACH RD,16,1968,Y,N,N,Y,N,N,336,5 BEACH RD,1.298091724,103.8568538
5,7749,EUNOS CRES,2,1976,N,Y,N,N,N,N,0,5 EUNOS CRES,1.321189791,103.9032663
5,7756,JLN MINYAK,12,1964,Y,Y,N,N,N,N,143,5 JLN MINYAK,1.28787849,103.8380667
5,7757,LOR 7 TOA PAYOH,11,1969,Y,N,N,Y,N,N,258,5 LOR 7 TOA PAYOH,1.338659548,103.8558065
5,7768,UPP BOON KENG RD,7,2005,N,Y,N,Y,Y,N,0,5 UPP BOON KENG RD,1.312654496,103.8725418
5A,7769,GHIM MOH RD,2,2002,N,N,N,N,Y,N,0,5A GHIM MOH RD,1.312942442,103.78822
5A,7770,HOLLAND CL,6,1994,N,N,N,N,Y,N,0,5A HOLLAND CL,1.308817934,103.7961732
5A,7771,JLN BATU,1,2002,N,N,N,N,N,Y,0,5A JLN BATU,1.301480682,103.8834963
5A,7773,TELOK BLANGAH CRES,1,2005,N,N,N,N,N,Y,0,5A TELOK BLANGAH CRES,1.278882784,103.8189887
5B,7775,HOLLAND CL,1,1997,N,N,N,N,N,Y,0,5B HOLLAND CL,1.307970643,103.7963568
50,7784,MARINE TER,3,1975,N,Y,N,N,N,N,0,50 MARINE TER,1.305322685,103.9158385
50,7786,PASIR RIS AVE,2,1976,Y,N,N,N,N,N,1,50 PASIR RIS AVE,1.383141919,103.9438916
50,7787,SENGKANG WEST WAY,2,2019,N,N,N,Y,N,N,0,50 SENGKANG WEST WAY,1.393075185,103.8739292
50A,7793,C'WEALTH DR,1,2013,N,N,N,N,N,Y,0,50A C'WEALTH DR,1.301261461,103.7974228
50A,7794,MARINE TER,1,1975,N,N,Y,N,N,N,0,50A MARINE TER,1.305729736,103.915737
50A,7795,SIMS DR,4,2004,N,N,N,N,Y,N,0,50A SIMS DR,1.316150757,103.8784402
500,7796,LOR 6 TOA PAYOH,4,2002,N,Y,N,N,N,N,0,500 LOR 6 TOA PAYOH,1.332855429,103.8470923
500A,7799,PASIR RIS ST 52,6,1992,N,N,N,N,Y,N,0,500A PASIR RIS ST 52,1.376411787,103.9455965
501,7811,WEST COAST DR,2,1979,Y,Y,N,N,N,N,6,501 WEST COAST DR,1.312312548,103.7593125
501,7812,WELLINGTON CIRCLE,5,1999,N,N,N,N,Y,N,0,501 WELLINGTON CIRCLE,1.451596678,103.8213734
501,7814,YISHUN ST 51,7,2016,N,N,N,N,Y,N,0,501 YISHUN ST 51,1.416567477,103.8409027
501A,7816,YISHUN ST 51,13,2016,Y,N,N,N,N,N,72,501A YISHUN ST 51,1.416583983,103.8404501
501B,7818,YISHUN ST 51,13,2016,Y,N,N,N,N,N,69,501B YISHUN ST 51,1.41704066,103.8405525
502,7831,WELLINGTON CIRCLE,1,2000,N,N,N,N,N,Y,0,502 WELLINGTON CIRCLE,1.451265049,103.8216777
502,7832,WEST COAST DR,1,1995,N,Y,Y,N,N,N,0,502 WEST COAST DR,1.311906964,103.759128
502,7834,YISHUN ST 51,1,2016,N,N,N,N,N,Y,0,502 YISHUN ST 51,1.416867081,103.8408582
502A,7835,CHOA CHU KANG ST 51,3,1993,N,N,N,N,Y,N,0,502A CHOA CHU KANG ST 51,1.388714708,103.7429563
502A,7838,WEST COAST DR,1,1980,N,Y,N,N,N,N,0,502A WEST COAST DR,1.312162717,103.7593526
502A,7839,YISHUN ST 51,13,2016,Y,N,N,N,N,N,132,502A YISHUN ST 51,1.416392787,103.8413693
502B,7840,YISHUN ST 51,13,2016,Y,N,N,N,N,N,96,502B YISHUN ST 51,1.416839015,103.8415518
502C,7841,YISHUN ST 51,13,2016,Y,N,N,Y,N,N,96,502C YISHUN ST 51,1.417323097,103.8415542
502D,7842,YISHUN ST 51,13,2016,Y,N,N,Y,N,N,81,502D YISHUN ST 51,1.41733259,103.8408611
503,7847,CANBERRA LINK,1,2000,N,N,N,N,N,Y,0,503 CANBERRA LINK,1.45056197,103.8219653
503,7855,WEST COAST DR,1,1979,N,N,Y,N,N,N,0,503 WEST COAST DR,1.311803089,103.7597514
503A,7857,BEDOK NTH ST 3,1,1993,N,N,N,N,N,Y,0,503A BEDOK NTH ST 3,1.331606321,103.9320324
503A,7859,WEST COAST DR,1,1980,N,Y,N,N,N,N,0,503A WEST COAST DR,1.311584337,103.759907
504,7864,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,504 BISHAN ST 11,1.349300046,103.8484847
504,7870,MONTREAL DR,5,1999,N,N,N,N,Y,N,0,504 MONTREAL DR,1.450892511,103.8236782
504,7873,TAMPINES CTRL 1,1,1989,N,Y,N,N,N,N,0,504 TAMPINES CTRL 1,1.356397715,103.9457017
504,7874,WEST COAST DR,2,1978,N,Y,N,N,N,N,0,504 WEST COAST DR,1.312253407,103.7596018
504,7876,YISHUN ST 51,6,2014,N,Y,N,Y,Y,Y,0,504 YISHUN ST 51,1.418407468,103.8445477
504A,7878,SERANGOON NTH AVE 4,5,1993,N,Y,N,N,Y,N,0,504A SERANGOON NTH AVE 4,1.373997687,103.8757047
505,7888,BISHAN ST 11,5,1989,N,Y,N,N,Y,N,0,505 BISHAN ST 11,1.3489143,103.8486623
505,7890,CANBERRA LINK,5,1999,N,Y,N,N,Y,N,0,505 CANBERRA LINK,1.450262019,103.8225347
505,7894,JURONG WEST ST 52,1,1985,N,N,Y,N,N,N,0,505 JURONG WEST ST 52,1.349657291,103.7184437
505A,7900,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,505A BISHAN ST 11,1.349143259,103.8486449
505A,7901,JELAPANG RD,5,1996,N,N,N,N,Y,N,0,505A JELAPANG RD,1.384955091,103.7676795
505A,7902,JURONG WEST ST 52,7,2015,N,N,N,N,Y,N,0,505A JURONG WEST ST 52,1.349350365,103.7179479
505A,7903,WOODLANDS DR 14,7,1997,N,N,N,N,Y,N,0,505A WOODLANDS DR 14,1.432151027,103.7916164
505B,7905,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,505B BISHAN ST 11,1.34870137,103.8485267
505C,7907,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,505C BISHAN ST 11,1.348648987,103.8487618
505D,7909,BISHAN ST 11,1,1989,N,Y,N,N,N,N,0,505D BISHAN ST 11,1.349068637,103.8489798
506,7921,TAMPINES CTRL 1,3,1989,N,Y,N,N,N,N,0,506 TAMPINES CTRL 1,1.355952387,103.9459374
506,7923,WELLINGTON CIRCLE,5,2000,N,N,N,N,Y,N,0,506 WELLINGTON CIRCLE,1.452411187,103.8235658
506,7925,YISHUN AVE 4,8,2016,N,N,N,N,Y,Y,0,506 YISHUN AVE 4,1.414871863,103.8403391
506A,7928,YISHUN AVE 4,13,2016,Y,N,N,N,N,N,96,506A YISHUN AVE 4,1.415931318,103.8400149
506B,7930,YISHUN AVE 4,13,2016,Y,N,N,N,N,N,96,506B YISHUN AVE 4,1.415818689,103.8406788
506C,7931,YISHUN AVE 4,13,2016,Y,N,N,N,N,N,106,506C YISHUN AVE 4,1.415445964,103.8404557
507,7934,BISHAN ST 11,2,1989,N,Y,N,N,N,N,0,507 BISHAN ST 11,1.348899196,103.849279
507,7942,TAMPINES CTRL 1,4,1989,N,N,N,N,Y,N,0,507 TAMPINES CTRL 1,1.355185653,103.9459252
507,7943,WELLINGTON CIRCLE,1,2000,N,N,N,N,N,Y,0,507 WELLINGTON CIRCLE,1.452003222,103.8235587
