address,latitude,longitude
466 ANG MO KIO AVE 10,1.36584095,103.8570313
564 ANG MO KIO AVE 3,1.3692106,103.858893
21 CHAI CHEE RD,1.32594485,103.9221854
20 CHAI CHEE RD,1.32368625,103.9197801
8 BEDOK STH AVE 2,1.3228277,103.9361672
15 BEDOK STH RD,1.3209103,103.9356538
2 BEDOK STH AVE 1,1.3212585,103.9332191
18 BEDOK STH RD,1.3205036,103.9347465
54 NEW UPP CHANGI RD,1.32484085,103.9425796
22 BEDOK STH AVE 1,1.32282485,103.9328006
34 BEDOK STH AVE 2,1.32203725,103.9383309
35 BEDOK STH AVE 2,1.32231235,103.9397734
53 NEW UPP CHANGI RD,1.3243167,103.9424619
42 BEDOK STH RD,1.3214934,103.9406853
51 NEW UPP CHANGI RD,1.32341155,103.9421859
36 BEDOK STH AVE 2,1.32161045,103.9384021
107 BEDOK NTH RD,1.3324161,103.9363784
41 BEDOK STH RD,1.32882275,103.9516568
110 BEDOK NTH RD,1.3236799,103.9108467
105 BEDOK NTH AVE 4,1.3337089,103.9365607
104 BEDOK NTH AVE 4,1.3332927,103.9366184
29 NEW UPP CHANGI RD,1.3239124,103.9362047
28 NEW UPP CHANGI RD,1.3236778,103.9350856
30 NEW UPP CHANGI RD,1.3235087,103.9365087
31 BEDOK STH AVE 2,1.3230053,103.9381801
505 BEDOK NTH AVE 3,1.3318127,103.9333332
417 BEDOK NTH AVE 2,1.3276265,103.9305368
96 BEDOK NTH AVE 4,1.3332519,103.9402933
118 BEDOK NTH ST 2,1.33043415,103.9374769
120 BEDOK NTH ST 2,1.3299493,103.9375181
72 BEDOK STH AVE 3,1.32035945,103.9436609
111 BEDOK NTH RD,1.3314701,103.935472
130 BEDOK NTH ST 2,1.32714765,103.9367258
132 BEDOK NTH ST 2,1.32775235,103.9367745
78 BEDOK NTH RD,1.3272685,103.9409107
508 BEDOK NTH AVE 3,1.3333774,103.9325173
79 BEDOK NTH RD,1.327708,103.94082
80 BEDOK NTH RD,1.3285133,103.9407294
134 BEDOK NTH ST 2,1.3283098,103.9365917
131 BEDOK NTH AVE 3,1.32695795,103.935762
133 BEDOK NTH AVE 3,1.32756465,103.9357921
121 BEDOK NTH RD,1.3296222,103.9387352
71 BEDOK STH RD,1.3204651,103.9427181
128 BEDOK NTH ST 2,1.32772685,103.9390613
62 NEW UPP CHANGI RD,1.3233129,103.939956
507 BEDOK NTH AVE 3,1.33295425,103.9325801
126 BEDOK NTH ST 2,1.3281545,103.9388662
82 BEDOK NTH RD,1.3295396,103.9403668
89 BEDOK NTH ST 4,1.3329912,103.9382518
116 BEDOK NTH RD,1.3309428,103.9381007
100 BEDOK NTH AVE 4,1.33429125,103.9388499
115 BEDOK NTH RD,1.3313891,103.9368316
33 BEDOK STH AVE 2,1.3228104,103.9390511
125 BEDOK NTH RD,1.3288879,103.9391884
87 BEDOK NTH ST 4,1.3321123,103.9382333
124 BEDOK NTH RD,1.3292548,103.9390071
46 BEDOK STH AVE 3,1.32228675,103.9427278
416 BEDOK NTH AVE 2,1.32821835,103.9307266
129 BEDOK NTH ST 2,1.32753285,103.9380827
418 BEDOK NTH AVE 2,1.3287195,103.9300077
138 BEDOK NTH ST 2,1.32946495,103.9360954
501 BEDOK NTH ST 3,1.33161695,103.9312373
117 BEDOK NTH RD,1.3306475,103.9385539
504 BEDOK NTH ST 3,1.33185805,103.9324605
76 BEDOK NTH RD,1.3283586,103.9421798
75 BEDOK NTH RD,1.3281133,103.9421106
69 BEDOK STH AVE 3,1.3193665,103.9437249
503 BEDOK NTH ST 3,1.33144265,103.9324249
502 BEDOK NTH ST 3,1.33119695,103.9312026
139 BEDOK NTH AVE 3,1.3294139,103.9355039
137 BEDOK NTH AVE 3,1.32879855,103.9354149
422 BEDOK NTH RD,1.3287637,103.9289911
93 BEDOK NTH AVE 4,1.33288635,103.9414152
95 BEDOK NTH AVE 4,1.33386955,103.9421606
424 BEDOK NTH AVE 1,1.32838355,103.927523
517 BEDOK NTH AVE 2,1.3310538,103.9292023
427 BEDOK NTH RD,1.3290657,103.9273597
136 BEDOK NTH AVE 3,1.3281386,103.9352241
419 BEDOK NTH ST 1,1.326903,103.9281301
529 BEDOK NTH ST 3,1.3342791,103.9264509
401 BEDOK NTH AVE 3,1.33093895,103.9336714
202 BEDOK NTH ST 1,1.3255953,103.9279714
412 BEDOK NTH AVE 2,1.3293218,103.9310904
402 BEDOK NTH AVE 3,1.3305347,103.9337193
425 BEDOK NTH RD,1.3293501,103.9288099
510 BEDOK NTH ST 3,1.33242145,103.9311691
525 BEDOK NTH ST 3,1.33472795,103.9289243
710 BEDOK RESERVOIR RD,1.3355491,103.9238012
403 BEDOK NTH AVE 3,1.3297727,103.9339043
404 BEDOK NTH AVE 3,1.3293495,103.9339634
707 BEDOK NTH RD,1.3354419,103.9192478
702 BEDOK RESERVOIR RD,1.33718775,103.9189068
543 BEDOK NTH ST 3,1.33027485,103.9230336
547 BEDOK NTH ST 3,1.33002325,103.9250022
43 CHAI CHEE ST,1.3282613,103.9254332
533 BEDOK NTH ST 3,1.33360825,103.924131
44 CHAI CHEE ST,1.32900105,103.9257237
537 BEDOK NTH ST 3,1.332013,103.923692
218 BEDOK NTH ST 1,1.3273344,103.9338974
708 BEDOK NTH RD,1.3350028,103.9192478
532 BEDOK NTH ST 3,1.33397915,103.9251872
213 BEDOK NTH ST 1,1.32625055,103.9324973
536 BEDOK NTH ST 3,1.333298,103.9229781
540 BEDOK NTH ST 3,1.3310533,103.9219289
613 BEDOK RESERVOIR RD,1.33268095,103.9176374
713 BEDOK RESERVOIR RD,1.3366234,103.9224195
712 BEDOK RESERVOIR RD,1.3359376,103.9225143
622 BEDOK RESERVOIR RD,1.33405435,103.916856
50 CHAI CHEE ST,1.3291873,103.9225671
54 CHAI CHEE ST,1.3293913,103.9210537
615 BEDOK RESERVOIR RD,1.33235885,103.9159924
602 BEDOK RESERVOIR RD,1.3293925,103.9117443
603 BEDOK RESERVOIR RD,1.32993315,103.9123222
605 BEDOK RESERVOIR RD,1.33034395,103.9137519
61 CHAI CHEE RD,1.3251396,103.9206969
609 BEDOK RESERVOIR RD,1.33166265,103.9122967
616 BEDOK RESERVOIR RD,1.33151925,103.9147562
606 BEDOK RESERVOIR RD,1.3312877,103.913806
1 CHAI CHEE RD,1.3280147,103.9225545
56 CHAI CHEE DR,1.3263643,103.920049
58 CHAI CHEE DR,1.3256155,103.9200926
716 BEDOK RESERVOIR RD,1.3378126,103.9248465
725 BEDOK RESERVOIR RD,1.3375322,103.9287326
722 BEDOK RESERVOIR RD,1.3366844,103.9283519
724 BEDOK RESERVOIR RD,1.337127,103.9284146
718 BEDOK RESERVOIR RD,1.3368887,103.9252833
59 CHAI CHEE RD,1.324604,103.9206042
55 CHAI CHEE DR,1.3265228,103.9187346
112 BEDOK RESERVOIR RD,1.32967695,103.9103561
166 BEDOK STH AVE 3,1.3200314,103.9451883
165 BEDOK STH RD,1.3202925,103.9460775
534 BEDOK NTH ST 3,1.3330615,103.9246338
620 BEDOK RESERVOIR RD,1.3338653,103.9182197
22 SIN MING RD,1.3572224,103.8393379
24 SIN MING RD,1.3552021,103.8363335
310 SHUNFU RD,1.3508431,103.8386864
308 SHUNFU RD,1.35048425,103.838149
309 SHUNFU RD,1.3509401,103.837773
304 SHUNFU RD,1.35014635,103.8380769
4 HILLVIEW AVE,1.3611958,103.7620325
6 HILLVIEW AVE,1.3607999,103.7649904
214 BT BATOK ST 21,1.3473242,103.7529206
140 BT BATOK ST 11,1.35081015,103.7437557
142 BT BATOK ST 11,1.34992715,103.7430372
141 BT BATOK ST 11,1.35037275,103.7433906
113 BT BATOK WEST AVE 6,1.3487529,103.7452556
129 BT BATOK WEST AVE 6,1.3514538,103.7460347
116 BT BATOK WEST AVE 6,1.3496083,103.7463761
169 BT BATOK WEST AVE 8,1.34655555,103.7410407
135 BT BATOK WEST AVE 6,1.3512634,103.7447647
165 BT BATOK WEST AVE 8,1.34737705,103.7423797
160 BT BATOK ST 11,1.34884095,103.7420702
161 BT BATOK ST 11,1.34845485,103.7420858
130 BT BATOK WEST AVE 6,1.3511521,103.7460475
164 BT BATOK ST 11,1.347706,103.7426841
182 BT BATOK WEST AVE 8,1.34566855,103.7440426
184 BT BATOK WEST AVE 8,1.34620425,103.7438738
138 BT BATOK WEST AVE 6,1.350225,103.7442518
146 BT BATOK WEST AVE 6,1.3496621,103.744013
143 BT BATOK ST 11,1.35036645,103.7439614
180 BT BATOK WEST AVE 8,1.3456695,103.7431777
145 BT BATOK ST 11,1.34995405,103.7437866
134 BT BATOK WEST AVE 6,1.351612,103.7444469
221 BT BATOK EAST AVE 3,1.347467,103.7536043
120 BT BATOK CTRL,1.3510103,103.7475202
121 BT BATOK CTRL,1.3516009,103.7478959
223 BT BATOK EAST AVE 3,1.34795855,103.7535644
115 BT BATOK WEST AVE 6,1.3492074,103.7466034
111 BT BATOK WEST AVE 6,1.348415,103.7459308
103 BT BATOK CTRL,1.3482234,103.748063
216 BT BATOK ST 21,1.34708435,103.7536483
117 BT BATOK WEST AVE 6,1.3499944,103.7472257
163 BT BATOK ST 11,1.3481081,103.7426319
209 BT BATOK ST 21,1.3454616,103.7488125
204 BT BATOK ST 21,1.3475205,103.7499261
307 BT BATOK ST 31,1.35818755,103.7481344
123 BT BATOK CTRL,1.3514489,103.7475203
225 BT BATOK CTRL,1.348447,103.752573
177 BT BATOK WEST AVE 8,1.3462826,103.7418635
205 BT BATOK ST 21,1.3471008,103.7499088
248 BT BATOK EAST AVE 5,1.35025705,103.7566573
258 BT BATOK EAST AVE 4,1.3512517,103.7589183
127 BT BATOK WEST AVE 6,1.3518849,103.7460616
2 HILLVIEW AVE,1.3611884,103.7650375
227 BT BATOK CTRL,1.3483314,103.7535816
244 BT BATOK EAST AVE 5,1.34931315,103.7573411
219 BT BATOK ST 21,1.34704205,103.75476
228 BT BATOK CTRL,1.348675,103.753633
28 HOY FATT RD,1.2866499,103.8101623
28 JLN BT MERAH,1.286411,103.8098657
29 HAVELOCK RD,1.2890572,103.8309888
22 HAVELOCK RD,1.2887371,103.828882
26 JLN KLINIK,1.2881914,103.8284669
30 JLN KLINIK,1.2877349,103.8281799
37 JLN RUMAH TINGGI,1.2895205,103.810611
28 JLN KLINIK,1.2879648,103.8281947
33 TAMAN HO SWEE,1.2876934,103.8323247
101 HENDERSON CRES,1.2753484,103.8147842
103 HENDERSON CRES,1.2753484,103.8147842
18 TAMAN HO SWEE,1.2876934,103.8323247
36 BEO CRES,1.2883027,103.8271796
40 BEO CRES,1.2888364,103.8273436
6 JLN BT HO SWEE,1.287659,103.831453
120 BT MERAH VIEW,1.282806,103.8225255
130 BT MERAH VIEW,1.2848388,103.8244875
47 MOH GUAN TER,1.2836697,103.8301452
128 BT MERAH VIEW,1.2827503,103.823544
77 INDUS RD,1.2911291,103.8269696
41 KIM CHENG ST,1.2845581,103.8319423
111 BT MERAH VIEW,1.2862613,103.8237198
114 BT MERAH VIEW,1.2865784,103.8224276
12 TELOK BLANGAH CRES,1.2772003,103.8196084
13 TELOK BLANGAH CRES,1.27816925,103.8204779
96 HENDERSON RD,1.28797955,103.8219434
2 JLN BT MERAH,1.2867153,103.8068198
18 TELOK BLANGAH CRES,1.2778848,103.8225532
132 JLN BT MERAH,1.2788445,103.8283634
16 TELOK BLANGAH CRES,1.2774066,103.8211185
105 HENDERSON CRES,1.2900057,103.8229408
8 TELOK BLANGAH CRES,1.27779375,103.8193249
7 TELOK BLANGAH CRES,1.2783411,103.8193752
48 TELOK BLANGAH DR,1.2723789,103.8106641
34 TELOK BLANGAH WAY,1.2782551,103.8171241
129 KIM TIAN RD,1.281169,103.8288852
57 TELOK BLANGAH HTS,1.27464035,103.812629
62 TELOK BLANGAH HTS,1.27523515,103.8111689
63 TELOK BLANGAH HTS,1.27482355,103.8109865
60 TELOK BLANGAH HTS,1.2760852,103.8122003
110 DEPOT RD,1.2814589,103.8091739
44 TELOK BLANGAH DR,1.27174295,103.8111866
42 TELOK BLANGAH RISE,1.2709197,103.8227725
46 TELOK BLANGAH DR,1.27168705,103.8099373
73 TELOK BLANGAH HTS,1.2757389,103.8092723
66 TELOK BLANGAH DR,1.2741439,103.8097219
72 TELOK BLANGAH HTS,1.2761007,103.8096514
69 TELOK BLANGAH HTS,1.27558415,103.8103623
54 TELOK BLANGAH DR,1.27359385,103.8120423
51 TELOK BLANGAH DR,1.2735126,103.8097031
75 TELOK BLANGAH DR,1.2748762,103.8086867
55 TELOK BLANGAH DR,1.27397095,103.8122757
140 JLN BT MERAH,1.2781401,103.8295536
141 JLN BT MERAH,1.2771765,103.8289211
18 KG BAHRU HILL,1.2765752,103.8299601
4 EVERTON PK,1.27690295,103.8400786
7 EVERTON PK,1.27704765,103.8393468
3 EVERTON PK,1.27716185,103.8387022
146 JLN BT MERAH,1.2778438,103.830878
78 INDUS RD,1.2913242,103.8275081
5 TELOK BLANGAH CRES,1.27866735,103.8192402
119 BT MERAH VIEW,1.2834093,103.8210677
103 DEPOT RD,1.2817047,103.8100438
133 JLN BT MERAH,1.2796169,103.8272869
1 JLN BT MERAH,1.2865392,103.8082533
13 REDHILL CL,1.285417,103.8169188
19 REDHILL CL,1.28604615,103.8178417
20 REDHILL CL,1.2867348,103.8172976
7 KIM TIAN PL,1.28348045,103.8270924
113 BT PURMEI RD,1.2748886,103.8271056
110 BT PURMEI RD,1.2738047,103.8270224
104 BT PURMEI RD,1.2725589,103.8253847
109 JLN BT MERAH,1.2794991,103.8260265
102 BT PURMEI RD,1.2720458,103.8267436
108 JLN BT MERAH,1.2791362,103.8256786
106 BT PURMEI RD,1.2730751,103.8256575
115 BT PURMEI RD,1.2753564,103.8268859
114 BT PURMEI RD,1.275194,103.8258403
6 FARRER RD,1.3174084,103.8081162
4 QUEEN'S RD,1.3191522,103.8083721
8 EMPRESS RD,1.3167209,103.8061976
8 JLN KUKOH,1.2874812,103.8394067
10 SELEGIE RD,1.30366365,103.8505527
9 SELEGIE RD,1.3034251,103.850931
13 SHORT ST,1.3027514,103.8512853
12 SHORT ST,1.3035817,103.8521054
8 SELEGIE RD,1.30313305,103.8506271
34 UPP CROSS ST,1.2840671,103.8449957
2 ROCHOR RD,1.3020775,103.8550136
538 UPP CROSS ST,1.2852438,103.8456998
271 QUEEN ST,1.30093775,103.8539812
232 BAIN ST,1.2976486,103.8532702
662 BUFFALO RD,1.3061466,103.8500303
663 BUFFALO RD,1.3056666,103.8508537
664 BUFFALO RD,1.3060888,103.8511641
639 ROWELL RD,1.3077573,103.8552017
22 OUTRAM PK,1.2823484,103.8382161
642 ROWELL RD,1.30779475,103.8564888
640 ROWELL RD,1.3074168,103.8550556
335B SMITH ST,1.2823852,103.8434498
632 VEERASAMY RD,1.3060836,103.85451
633 VEERASAMY RD,1.3058101,103.8548333
264 WATERLOO ST,1.2990189,103.8522801
10 TECK WHYE AVE,1.3815316,103.7532014
13 TECK WHYE LANE,1.3789309,103.755831
26 TECK WHYE LANE,1.3776263,103.755745
16 TECK WHYE LANE,1.3785309,103.7550088
1 TECK WHYE AVE,1.3825069,103.7517129
4 TECK WHYE AVE,1.38193745,103.7527692
414 C'WEALTH AVE WEST,1.3115881,103.7717297
415 C'WEALTH AVE WEST,1.3110129,103.7717431
413 C'WEALTH AVE WEST,1.3115214,103.7706095
336 CLEMENTI AVE 2,1.31667005,103.7693017
337 CLEMENTI AVE 2,1.316051,103.7691862
411 C'WEALTH AVE WEST,1.31088855,103.7696621
412 C'WEALTH AVE WEST,1.3109176,103.7707933
311 CLEMENTI AVE 4,1.31934935,103.7651468
365 CLEMENTI AVE 2,1.31228525,103.7700021
433 CLEMENTI AVE 3,1.3139858,103.7618646
314 CLEMENTI AVE 4,1.3208012,103.7677252
427 CLEMENTI AVE 3,1.31197215,103.7638129
326 CLEMENTI AVE 5,1.3161184,103.7702322
435 CLEMENTI AVE 3,1.31457215,103.7625826
363 CLEMENTI AVE 2,1.3127562,103.7690024
401 CLEMENTI AVE 1,1.3076142,103.7675924
329 CLEMENTI AVE 2,1.31308435,103.7674005
313 CLEMENTI AVE 4,1.3208012,103.7677252
509 WEST COAST DR,1.31115075,103.760987
312 CLEMENTI AVE 4,1.3188201,103.7641218
334 CLEMENTI AVE 2,1.3151301,103.7684348
322 CLEMENTI AVE 5,1.31612265,103.7663897
506 WEST COAST DR,1.31245905,103.7609889
323 CLEMENTI AVE 5,1.3161184,103.7702322
508 WEST COAST DR,1.31166925,103.7617337
301 CLEMENTI AVE 4,1.3221629,103.7649473
609 CLEMENTI WEST ST 1,1.30405605,103.7655342
607 CLEMENTI WEST ST 1,1.30421425,103.7679137
315 CLEMENTI AVE 4,1.3184468,103.7654745
431 CLEMENTI AVE 3,1.313555,103.7631761
602 CLEMENTI WEST ST 1,1.30502125,103.7660378
303 CLEMENTI AVE 4,1.3213543,103.7648615
346 CLEMENTI AVE 5,1.31699755,103.7701623
307 CLEMENTI AVE 4,1.32141665,103.7671519
306 CLEMENTI AVE 4,1.3214131,103.7659571
608 CLEMENTI WEST ST 1,1.30433125,103.766606
320 CLEMENTI AVE 4,1.3172026,103.7655775
339 CLEMENTI AVE 5,1.31955795,103.7693298
354 CLEMENTI AVE 2,1.31401405,103.7712025
305 CLEMENTI AVE 4,1.32198195,103.7660655
707 CLEMENTI WEST ST 2,1.306256,103.7624548
309 CLEMENTI AVE 4,1.320534,103.7663617
515 WEST COAST RD,1.3084046,103.7597405
702 WEST COAST RD,1.30721985,103.7612057
711 CLEMENTI WEST ST 2,1.30502805,103.7610955
703 WEST COAST RD,1.3066301,103.7609063
704 WEST COAST RD,1.3062806,103.7608104
731 CLEMENTI WEST ST 2,1.30414285,103.762904
728 CLEMENTI WEST ST 2,1.30533475,103.763822
310 CLEMENTI AVE 4,1.32023545,103.7660814
705 CLEMENTI WEST ST 2,1.3056139,103.7607991
706 CLEMENTI WEST ST 2,1.3067003,103.7625255
724 CLEMENTI WEST ST 2,1.30359005,103.763395
717 CLEMENTI WEST ST 2,1.30320085,103.7625797
723 CLEMENTI WEST ST 2,1.3030668,103.7634541
371 CLEMENTI AVE 4,1.3202552,103.7683942
610 CLEMENTI WEST ST 1,1.3048227,103.769052
729 CLEMENTI WEST ST 2,1.3049989,103.7635326
440 CLEMENTI AVE 3,1.3119815,103.7656112
110 CLEMENTI ST 13,1.3229112,103.770687
116 CLEMENTI ST 13,1.324262,103.7719568
103 CLEMENTI ST 14,1.3227124,103.7689055
204 CLEMENTI AVE 6,1.3210045,103.76322
205 CLEMENTI AVE 6,1.3210729,103.7624603
113 CLEMENTI ST 13,1.3236285,103.7702782
710 CLEMENTI WEST ST 2,1.3063693,103.7616323
111 CLEMENTI ST 13,1.32316235,103.7711971
201 CLEMENTI AVE 6,1.3204454,103.763334
115 CLEMENTI ST 13,1.3236869,103.7713677
713 CLEMENTI WEST ST 2,1.30416475,103.7622407
520 WEST COAST RD,1.3071067,103.7597027
23 BALAM RD,1.3309884,103.8865018
21 BALAM RD,1.331263,103.8870082
34 CIRCUIT RD,1.329026,103.887477
65 CIRCUIT RD,1.3272196,103.8869492
62 CIRCUIT RD,1.3262351,103.8871143
63 CIRCUIT RD,1.3265879,103.8866385
81 MACPHERSON LANE,1.3322047,103.8863181
93 JLN DUA,1.3260569,103.9117855
58 CIRCUIT RD,1.3249924,103.8865662
49 CIRCUIT RD,1.32511765,103.8856878
67 CIRCUIT RD,1.32585865,103.8878969
61 CIRCUIT RD,1.3257854,103.8870915
48 CIRCUIT RD,1.3254157,103.8855851
47 CIRCUIT RD,1.3257589,103.8857615
57 CIRCUIT RD,1.3247059,103.8867349
85 CIRCUIT RD,1.3226643,103.8857405
87 CIRCUIT RD,1.3233533,103.8856271
35 CIRCUIT RD,1.3291657,103.8859729
40 CIRCUIT RD,1.32620695,103.889507
44 CIRCUIT RD,1.32663635,103.8861492
46 CIRCUIT RD,1.3262383,103.8860414
36 CIRCUIT RD,1.3290919,103.8868625
39 CIRCUIT RD,1.3275081,103.8856433
1 JLN PASAR BARU,1.3171315,103.8976332
2 GEYLANG SERAI,1.3175467,103.8985188
38 CIRCUIT RD,1.32797555,103.8861329
98 ALJUNIED CRES,1.3210614,103.8850984
6 HAIG RD,1.3131793,103.8973117
13 EUNOS CRES,1.32269935,103.9035247
59 SIMS DR,1.31733655,103.8789508
45 SIMS DR,1.31732065,103.8784545
18 EUNOS CRES,1.32375375,103.9044355
16 EUNOS CRES,1.32299975,103.9045215
24 EUNOS CRES,1.32378305,103.9023425
19 EUNOS CRES,1.3242949,103.9033533
9 EUNOS CRES,1.321804,103.902773
99 ALJUNIED CRES,1.3213713,103.8843009
102 ALJUNIED CRES,1.32031765,103.8823307
106 ALJUNIED CRES,1.3190605,103.8829292
112 ALJUNIED CRES,1.3204111,103.8851036
23 HAIG RD,1.3133838,103.8955167
108 ALJUNIED CRES,1.3191447,103.8853252
12 PINE CL,1.30870785,103.8821143
22 HAIG RD,1.3137163,103.8951673
41 SIMS DR,1.3169362,103.8755843
123 GEYLANG EAST CTRL,1.3181775,103.8854529
21 EUNOS CRES,1.32503235,103.903184
20 EUNOS CRES,1.3246651,103.9033855
60 DAKOTA CRES,1.30755105,103.8887227
127 GEYLANG EAST AVE 1,1.31792015,103.887889
128 GEYLANG EAST AVE 1,1.3184589,103.8878785
62 DAKOTA CRES,1.30785825,103.8888729
411 EUNOS RD 5,1.31869815,103.8995074
